time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward,roll_rad,fl_contact_state,fr_contact_state,rl_contact_state,rr_contact_state,fl_contact_force_n,fr_contact_force_n,rl_contact_force_n,rr_contact_force_n,fl_wheel_x_m,fl_wheel_z_m,fr_wheel_x_m,fr_wheel_z_m,rl_wheel_x_m,rl_wheel_z_m,rr_wheel_x_m,rr_wheel_z_m,reference_00,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11
0.0,0,0.005405638366937637,0.004792955704033375,0.5159829258918762,nan,0.0,0.0,-4.01842737197876,0.013158773072063923,1,1,1,1,0.0,0.0,0.0,0.0,0.2543836236000061,0.0033892635256052017,0.2593861520290375,0.0039041100535541773,-0.30143633484840393,0.0190604068338871,-0.3029128909111023,0.018926942721009254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.05,0,-0.0038424301892518997,-0.01640562154352665,-0.7394526600837708,nan,0.0,0.0,-1.8285236358642578,0.02342981845140457,1,1,1,1,0.0,0.0,0.0,7.71700382232666,0.2522210478782654,0.051728297024965286,0.257443904876709,0.0508769266307354,-0.30527904629707336,0.05094014108181,-0.3050500452518463,0.0499202124774456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.1,0,-0.0035982877016067505,-0.036141131073236465,-0.15089088678359985,nan,0.0,0.0,-0.010430511087179184,0.0175317395478487,1,1,1,1,0.0,0.0,0.0,8.610444068908691,0.2519010305404663,0.06166328489780426,0.2546219825744629,0.06037391722202301,-0.30592918395996094,0.05177754536271095,-0.30550822615623474,0.04988005757331848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.15,0,0.00028975680470466614,-0.01972331292927265,-0.09726476669311523,0.27936336398124695,0.0,0.0,-0.14403614401817322,0.007725468836724758,1,1,1,1,17.176532745361328,17.200258255004883,7.734499454498291,7.104556083679199,0.253610223531723,0.048814963549375534,0.2552834451198578,0.04961800575256348,-0.30430734157562256,0.04940669238567352,-0.30414021015167236,0.04943869635462761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.2,0,0.002217493951320648,-0.021966174244880676,-0.040929026901721954,0.2796601355075836,0.0,0.0,-0.016496187075972557,0.005459954496473074,1,1,1,1,8.8011474609375,5.7235822677612305,5.588869094848633,8.610978126525879,0.2546057403087616,0.04907262697815895,0.2562415301799774,0.04971560463309288,-0.3033026158809662,0.04929670691490173,-0.3031971752643585,0.049211326986551285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.25,0,0.0036097317934036255,-0.023402130231261253,-0.03224525973200798,0.2793494760990143,0.0,0.0,-0.004375868011265993,0.004161851014941931,1,1,1,1,9.031207084655762,5.486138343811035,5.334475040435791,8.872939109802246,0.2554975748062134,0.04925666004419327,0.25708460807800293,0.04979183152318001,-0.30243200063705444,0.0491749532520771,-0.3023684620857239,0.04901989549398422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.3,0,0.004650769755244255,-0.024181965738534927,-0.02156992442905903,0.279208779335022,0.0,0.0,0.002621116116642952,0.0032269717194139957,1,1,1,1,9.849528312683105,4.327539443969727,4.503757476806641,10.02249526977539,0.25631242990493774,0.04940101131796837,0.2578582167625427,0.049852512776851654,-0.30163881182670593,0.049048297107219696,-0.3017115890979767,0.04905734211206436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.35,0,0.0055260322988033295,-0.02466922625899315,-0.018928639590740204,0.2791508138179779,0.0,0.0,0.006286989897489548,0.002547904849052429,1,1,1,1,10.293502807617188,3.9103453159332275,4.133559226989746,10.419212341308594,0.2570877969264984,0.04952448606491089,0.25860121846199036,0.04990345612168312,-0.3008721172809601,0.04891027510166168,-0.3011224865913391,0.049159444868564606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.4,0,0.006302086636424065,-0.024813737720251083,-0.004252498969435692,0.2791329622268677,0.0,0.0,0.0039942627772688866,0.0022340607829391956,1,1,1,1,9.256470680236816,4.852970123291016,5.161449909210205,9.512673377990723,0.25784751772880554,0.04962671175599098,0.2593257427215576,0.049947693943977356,-0.30020466446876526,0.048973117023706436,-0.3005378544330597,0.04926495626568794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.45,0,0.007065754383802414,-0.024829134345054626,-0.002356212120503187,0.279119610786438,0.0,0.0,0.005699900910258293,0.0021136810537427664,1,1,1,1,9.128005027770996,4.888626575469971,5.176081657409668,9.475333213806152,0.25860723853111267,0.04971257969737053,0.2600553333759308,0.049985215067863464,-0.29954496026039124,0.04910457134246826,-0.29993632435798645,0.04936642199754715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.5,0,0.007802722975611687,-0.024801908060908318,-0.0019469126127660275,0.27912062406539917,0.0,0.0,0.0065419916063547134,0.0020698788575828075,1,1,1,1,9.156268119812012,4.97988224029541,5.228255748748779,9.395711898803711,0.25936242938041687,0.04978539049625397,0.2607824504375458,0.0500134713947773,-0.29888129234313965,0.04922616109251976,-0.2993320822715759,0.049462925642728806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.55,0,0.008522970601916313,-0.024742165580391884,-0.001318446360528469,0.2791264057159424,0.0,0.0,0.008072428405284882,0.002066578483209014,1,1,1,1,9.209672927856445,4.934878349304199,5.166894912719727,9.43055534362793,0.26011061668395996,0.04984474182128906,0.2615039050579071,0.0500321239233017,-0.29821595549583435,0.04933832213282585,-0.29872286319732666,0.0495530366897583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.6,0,0.009243667125701904,-0.0246819369494915,-0.000903685053344816,0.27913522720336914,0.0,0.0,0.0076395198702812195,0.002083976287394762,1,1,1,1,9.304359436035156,4.84854793548584,5.09760856628418,9.482585906982422,0.260862797498703,0.04989147558808327,0.2622300088405609,0.05003998801112175,-0.2975471615791321,0.04944121837615967,-0.2981061637401581,0.04963681474328041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.65,0,0.00995977595448494,-0.024592764675617218,-0.0007273415103554726,0.2791454792022705,0.0,0.0,0.00785013847053051,0.002120759803801775,1,1,1,1,9.326616287231445,4.877579689025879,5.070734024047852,9.45102310180664,0.26161304116249084,0.0499257892370224,0.2629571259021759,0.05003741383552551,-0.2968692481517792,0.04953572154045105,-0.2974814176559448,0.04971395432949066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.7,0,0.010674385353922844,-0.02448895387351513,-0.0018238249467685819,0.2791573703289032,0.0,0.0,0.007771757431328297,0.0021674653980880976,1,1,1,1,9.35068130493164,4.9293131828308105,5.0260467529296875,9.445962905883789,0.26236215233802795,0.04994705691933632,0.26368701457977295,0.05002428591251373,-0.2961867153644562,0.04962163418531418,-0.29684996604919434,0.0497845821082592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.75,0,0.011413371190428734,-0.02440030314028263,-0.0025740698911249638,0.2791563868522644,0.0,0.0,0.006584116257727146,0.002197276335209608,1,1,1,1,9.549717903137207,4.824260711669922,4.854677200317383,9.538540840148926,0.26311972737312317,0.04995635896921158,0.2644239664077759,0.05000043660402298,-0.2954922020435333,0.04969833046197891,-0.2961966395378113,0.04984664171934128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
